"customer_id";"email";"type";"mention_rate"
102;"SIMON.AZAR@BMO.COM";"work";81
103;"ab@abc.com";"personal";58
104;"ab@abc.com";"personal";29
105;"ab@abc.com";"personal";41
106;"abc@efg.com";"work";58
107;"abc@efg.com";"work";35
108;"abc@efg.com";"personal";71
109;"abc@efg.com";"personal";24
110;"abc@efg.com";"work";45
111;"abc@efg.com";"work";76
112;"ashley.laycraft@hotmail.com";"personal";34
113;"ashley.laycraft@hotmail.com";"personal";86
114;"ashley.laycraft@hotmail.com";"personal";69
115;"ashley.laycraft@hotmail.com";"work";82
116;"B.RUBBLE@TELUS.NET";"work";29
117;"B.RUBBLE@TELUS.NET";"personal";37
118;"ashley.laycraft@hotmail.com";"work";99
119;"ashley.laycraft@hotmail.com";"work";63
120;"B.RUBBLE@TELUS.NET";"personal";61
121;"eee@bmo.com";"personal";66
122;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";35
123;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";39
124;"eee@bmo.com";"personal";27
125;"eee@bmo.com";"work";89
126;"eee@bmo.com";"personal";95
127;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";97
128;"ab@abc.com";"work";61
129;"abc@efg.com";"work";85
130;"abc@efg.com";"personal";63
131;"ashley.laycraft@hotmail.com";"personal";32
132;"B.RUBBLE@TELUS.NET";"personal";38
133;"B.RUBBLE@TELUS.NET";"personal";54
134;"B.RUBBLE@TELUS.NET";"personal";49
135;"eee@bmo.com";"work";41
136;"eee@bmo.com";"personal";85
137;"eee@bmo.com";"work";74
138;"ab@abc.com";"personal";99
139;"ab@abc.com";"personal";44
140;"ab@abc.com";"work";92
141;"ab@abc.com";"work";70
142;"abc@efg.com";"personal";83
143;"abc@efg.com";"work";92
144;"ab@abc.com";"personal";44
145;"ab@abc.com";"work";50
146;"ab@abc.com";"personal";51
147;"ab@abc.com";"personal";23
148;"ab@abc.com";"personal";51
149;"ab@abc.com";"personal";58
150;"ab@abc.com";"personal";28
151;"ab@abc.com";"work";71
152;"ab@abc.com";"work";63
153;"ab@abc.com";"work";88
154;"abc@efg.com";"personal";36
155;"abc@efg.com";"personal";92
156;"abc@efg.com";"work";77
157;"abc@efg.com";"work";60
158;"abc@efg.com";"work";26
159;"ashley.laycraft@hotmail.com";"work";88
160;"ashley.laycraft@hotmail.com";"personal";57
161;"abc@efg.com";"personal";97
162;"abc@efg.com";"work";30
163;"ashley.laycraft@hotmail.com";"personal";37
164;"B.RUBBLE@TELUS.NET";"personal";37
165;"eee@bmo.com";"work";26
166;"eee@bmo.com";"work";84
167;"eee@bmo.com";"work";40
168;"B.RUBBLE@TELUS.NET";"work";60
169;"B.RUBBLE@TELUS.NET";"work";89
170;"B.RUBBLE@TELUS.NET";"work";37
171;"B.RUBBLE@TELUS.NET";"personal";71
172;"eee@bmo.com";"work";60
173;"eee@bmo.com";"work";99
174;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";94
175;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";82
176;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";93
177;"gt@bmo.com";"work";23
178;"gt@bmo.com";"personal";44
179;"eee@bmo.com";"personal";89
180;"eee@bmo.com";"personal";38
181;"eee@bmo.com";"personal";29
182;"eee@bmo.com";"work";40
183;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";92
184;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";81
185;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";56
186;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";29
187;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";52
188;"ab@abc.com";"personal";43
189;"ab@abc.com";"work";34
190;"ab@abc.com";"work";56
191;"ashley.laycraft@hotmail.com";"work";35
192;"ashley.laycraft@hotmail.com";"work";81
193;"ashley.laycraft@hotmail.com";"work";64
194;"B.RUBBLE@TELUS.NET";"personal";66
195;"B.RUBBLE@TELUS.NET";"work";26
196;"B.RUBBLE@TELUS.NET";"work";73
197;"B.RUBBLE@TELUS.NET";"personal";87
198;"B.RUBBLE@TELUS.NET";"personal";44
199;"B.RUBBLE@TELUS.NET";"work";88
200;"eee@bmo.com";"personal";23
201;"eee@bmo.com";"work";33
202;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";24
203;"ab@abc.com";"work";23
204;"ab@abc.com";"work";98
205;"ab@abc.com";"personal";91
206;"ab@abc.com";"personal";74
207;"ab@abc.com";"personal";41
208;"ab@abc.com";"work";73
209;"ab@abc.com";"personal";32
210;"abc@efg.com";"personal";50
211;"ashley.laycraft@hotmail.com";"work";53
212;"ashley.laycraft@hotmail.com";"work";54
213;"B.RUBBLE@TELUS.NET";"personal";57
214;"B.RUBBLE@TELUS.NET";"personal";42
215;"eee@bmo.com";"personal";90
216;"eee@bmo.com";"work";30
217;"eee@bmo.com";"personal";51
218;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";32
219;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";37
220;"gt@bmo.com";"personal";63
221;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";67
222;"gt@bmo.com";"work";26
223;"gt@bmo.com";"work";46
224;"gt@bmo.com";"personal";64
225;"gt@bmo.com";"personal";33
226;"G.SINGER@BMO.GC.ON.CA";"work";82
227;"G.SINGER@BMO.GC.ON.CA";"work";29
228;"G.SINGER@BMO.GC.ON.CA";"work";46
229;"G.SINGER@BMO.GC.ON.CA";"work";82
230;"GOODY@HANMAIL.COM";"work";54
231;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"personal";96
232;"gt@bmo.com";"personal";84
233;"gt@bmo.com";"work";83
234;"gt@bmo.com";"work";67
235;"gt@bmo.com";"personal";57
236;"gt@bmo.com";"personal";40
237;"gt@bmo.com";"work";97
238;"G.SINGER@BMO.GC.ON.CA";"personal";29
239;"G.SINGER@BMO.GC.ON.CA";"work";56
240;"G.SINGER@BMO.GC.ON.CA";"work";62
241;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";28
242;"gt@bmo.com";"work";89
243;"gt@bmo.com";"personal";31
244;"gt@bmo.com";"work";63
245;"gt@bmo.com";"work";44
246;"gt@bmo.com";"personal";76
247;"gt@bmo.com";"work";98
248;"gt@bmo.com";"personal";86
249;"gt@bmo.com";"work";78
250;"G.SINGER@BMO.GC.ON.CA";"personal";93
251;"gt@bmo.com";"work";65
252;"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"work";51
253;"gt@bmo.com";"work";47
254;"GOODY@HANMAIL.COM";"personal";37
255;"GOODY@HANMAIL.COM";"work";50
256;"GORDANSINGER@GMAIL.COM";"personal";27
257;"GOODY@HANMAIL.COM";"work";52
258;"GOODY@HANMAIL.COM";"work";27
259;"G.SINGER@BMO.GC.ON.CA";"work";75
260;"G.SINGER@BMO.GC.ON.CA";"personal";52
261;"G.SINGER@BMO.GC.ON.CA";"personal";49
262;"G.SINGER@BMO.GC.ON.CA";"personal";83
263;"G.SINGER@BMO.GC.ON.CA";"personal";86
264;"GOODY@HANMAIL.COM";"work";41
265;"G.SINGER@BMO.GC.ON.CA";"work";31
266;"G.SINGER@BMO.GC.ON.CA";"work";70
267;"GOODY@HANMAIL.COM";"personal";29
268;"GOODY@HANMAIL.COM";"work";25
269;"G.SINGER@BMO.GC.ON.CA";"work";82
270;"G.SINGER@BMO.GC.ON.CA";"work";88
271;"GOODY@HANMAIL.COM";"personal";72
272;"GOODY@HANMAIL.COM";"personal";56
273;"GOODY@HANMAIL.COM";"work";42
274;"GORDANSINGER@GMAIL.COM";"personal";91
275;"G.SINGER@BMO.GC.ON.CA";"work";97
276;"G.SINGER@BMO.GC.ON.CA";"work";46
277;"G.SINGER@BMO.GC.ON.CA";"personal";80
278;"G.SINGER@BMO.GC.ON.CA";"personal";47
279;"G.SINGER@BMO.GC.ON.CA";"work";69
280;"G.SINGER@BMO.GC.ON.CA";"personal";94
281;"GOODY@HANMAIL.COM";"work";65
282;"GOODY@HANMAIL.COM";"work";98
283;"GOODY@HANMAIL.COM";"work";49
284;"GOODY@HANMAIL.COM";"personal";45
285;"GOODY@HANMAIL.COM";"work";95
286;"GOODY@HANMAIL.COM";"work";24
287;"G.SINGER@BMO.GC.ON.CA";"work";30
288;"G.SINGER@BMO.GC.ON.CA";"personal";47
289;"G.SINGER@BMO.GC.ON.CA";"work";97
290;"GORDANSINGER@GMAIL.COM";"work";90
291;"GORDANSINGER@HOTMAIL.COM";"work";30
292;"GORDANSINGER@HOTMAIL.COM";"work";28
293;"GORDANSINGER@HOTMAIL.COM";"personal";54
294;"GORDANSINGER@HOTMAIL.COM";"personal";60
295;"GORDANSINGER@HOTMAIL.COM";"personal";39
296;"GOODY@HANMAIL.COM";"personal";51
297;"GORDANSINGER@GMAIL.COM";"work";64
298;"GOODY@HANMAIL.COM";"work";31
299;"GORDANSINGER@GMAIL.COM";"personal";48
300;"GORDANSINGER@GMAIL.COM";"work";61
301;"GORDANSINGER@GMAIL.COM";"work";85
302;"GOODY@HANMAIL.COM";"work";82
303;"GORDANSINGER@GMAIL.COM";"work";54
304;"GORDANSINGER@GMAIL.COM";"work";84
305;"GORDANSINGER@GMAIL.COM";"work";33
306;"GORDANSINGER@GMAIL.COM";"personal";87
307;"GORDANSINGER@HOTMAIL.COM";"personal";52
308;"GOODY@HANMAIL.COM";"work";45
309;"GOODY@HANMAIL.COM";"work";57
310;"GORDANSINGER@GMAIL.COM";"personal";76
311;"GORDANSINGER@HOTMAIL.COM";"work";32
312;"GORDANSINGER@HOTMAIL.COM";"personal";82
313;"HANBOK@HOTMAIL.COM";"work";29
314;"G.SINGER@BMO.GC.ON.CA";"personal";50
315;"GOODY@HANMAIL.COM";"personal";40
316;"GOODY@HANMAIL.COM";"personal";96
317;"GOODY@HANMAIL.COM";"personal";91
318;"HANBOK@HOTMAIL.COM";"work";32
319;"HANBOK@HOTMAIL.COM";"work";27
320;"HANBOK@HOTMAIL.COM";"work";59
321;"HANBOK@HOTMAIL.COM";"personal";72
322;"GORDANSINGER@HOTMAIL.COM";"personal";40
323;"HANBOK@HOTMAIL.COM";"work";76
324;"HANBOK@HOTMAIL.COM";"work";32
325;"HANBOK@HOTMAIL.COM";"work";48
326;"HANBOK@HOTMAIL.COM";"work";74
327;"GORDANSINGER@GMAIL.COM";"work";52
328;"GORDANSINGER@HOTMAIL.COM";"work";44
329;"GORDANSINGER@HOTMAIL.COM";"work";65
330;"GORDANSINGER@HOTMAIL.COM";"personal";82
331;"GORDANSINGER@HOTMAIL.COM";"personal";89
332;"GORDANSINGER@GMAIL.COM";"work";76
333;"GORDANSINGER@HOTMAIL.COM";"work";64
334;"GORDANSINGER@HOTMAIL.COM";"work";46
335;"GORDANSINGER@HOTMAIL.COM";"work";62
336;"HANBOK@HOTMAIL.COM";"work";97
337;"HANBOK@HOTMAIL.COM";"work";47
338;"HANBOK@HOTMAIL.COM";"personal";97
339;"GORDANSINGER@HOTMAIL.COM";"personal";45
340;"GORDANSINGER@HOTMAIL.COM";"work";46
341;"HANBOK@HOTMAIL.COM";"work";60
342;"HANBOK@HOTMAIL.COM";"personal";74
343;"GORDANSINGER@HOTMAIL.COM";"personal";95
344;"GORDANSINGER@HOTMAIL.COM";"personal";68
345;"GORDANSINGER@HOTMAIL.COM";"work";70
346;"GORDANSINGER@HOTMAIL.COM";"personal";25
347;"GORDANSINGER@HOTMAIL.COM";"personal";70
348;"GORDANSINGER@HOTMAIL.COM";"work";75
349;"GORDANSINGER@HOTMAIL.COM";"personal";71
350;"GORDANSINGER@HOTMAIL.COM";"work";24
351;"HANBOK@HOTMAIL.COM";"personal";65
352;"HANBOK@HOTMAIL.COM";"work";60
353;"j@bmo.com";"personal";47
354;"j@bmo.com";"personal";43
355;"GORDANSINGER@GMAIL.COM";"personal";81
356;"GORDANSINGER@GMAIL.COM";"personal";49
357;"GORDANSINGER@GMAIL.COM";"personal";96
358;"GORDANSINGER@GMAIL.COM";"personal";24
359;"GORDANSINGER@GMAIL.COM";"work";30
360;"GORDANSINGER@HOTMAIL.COM";"work";78
361;"j@bmo.com";"work";79
362;"JORDAN.SINGER@YAHOO.COM";"work";62
363;"JORDAN.SINGER@YAHOO.COM";"work";66
364;"JORDAN.SINGER@YAHOO.COM";"personal";31
365;"JORDAN.SINGER@YAHOO.COM";"personal";56
366;"HANBOK@HOTMAIL.COM";"personal";35
367;"j@bmo.com";"work";24
368;"j@bmo.com";"personal";87
369;"j@bmo.com";"work";60
370;"j@bmo.com";"work";96
371;"j@bmo.com";"work";37
372;"JORDAN.SINGER@YAHOO.COM";"work";24
373;"JORDAN.SINGER@YAHOO.COM";"personal";58
374;"GORDANSINGER@HOTMAIL.COM";"work";93
375;"GORDANSINGER@HOTMAIL.COM";"personal";57
376;"GORDANSINGER@HOTMAIL.COM";"work";24
377;"HANBOK@HOTMAIL.COM";"personal";67
378;"HANBOK@HOTMAIL.COM";"personal";66
379;"HANBOK@HOTMAIL.COM";"work";79
380;"j@bmo.com";"personal";25
381;"j@bmo.com";"work";75
382;"j@bmo.com";"work";75
383;"j@bmo.com";"personal";75
384;"JORDAN.SINGER@YAHOO.COM";"work";65
385;"j@bmo.com";"work";26
386;"j@bmo.com";"personal";86
387;"HANBOK@HOTMAIL.COM";"personal";77
388;"HANBOK@HOTMAIL.COM";"personal";33
389;"HANBOK@HOTMAIL.COM";"work";72
390;"HANBOK@HOTMAIL.COM";"personal";50
391;"j@bmo.com";"personal";79
392;"JORDAN.SINGER@YAHOO.COM";"work";68
393;"GORDANSINGER@HOTMAIL.COM";"work";91
394;"GORDANSINGER@HOTMAIL.COM";"work";31
395;"HANBOK@HOTMAIL.COM";"work";79
396;"HANBOK@HOTMAIL.COM";"work";41
397;"JORDAN.SINGER@YAHOO.COM";"personal";23
398;"JORDAN.SINGER@YAHOO.COM";"personal";79
399;"kevin.laycraft@rogers.com";"work";50
400;"kevin.laycraft@rogers.com";"work";48
401;"NABI@NAVER.COM";"work";64
402;"NABI@NAVER.COM";"personal";52
403;"NABI@NAVER.COM";"work";32
404;"JORDAN.SINGER@YAHOO.COM";"work";60
405;"JORDAN.SINGER@YAHOO.COM";"personal";64
406;"kevin.laycraft@rogers.com";"personal";60
407;"kevin.laycraft@rogers.com";"work";38
408;"kevin.laycraft@rogers.com";"work";72
409;"kevin.laycraft@rogers.com";"work";66
410;"kevin.laycraft@rogers.com";"personal";62
411;"kevin.laycraft@rogers.com";"work";70
412;"kevin.laycraft@rogers.com";"personal";48
413;"HANBOK@HOTMAIL.COM";"personal";66
414;"j@bmo.com";"personal";28
415;"JORDAN.SINGER@YAHOO.COM";"work";52
416;"JORDAN.SINGER@YAHOO.COM";"personal";78
417;"kevin.laycraft@rogers.com";"work";24
418;"JORDAN.SINGER@YAHOO.COM";"work";89
419;"JORDAN.SINGER@YAHOO.COM";"work";22
420;"JORDAN.SINGER@YAHOO.COM";"work";27
421;"kevin.laycraft@rogers.com";"work";49
422;"kevin.laycraft@rogers.com";"work";30
423;"kevin.laycraft@rogers.com";"work";37
424;"JORDAN.SINGER@YAHOO.COM";"personal";59
425;"JORDAN.SINGER@YAHOO.COM";"work";97
426;"kevin.laycraft@rogers.com";"personal";70
427;"j@bmo.com";"personal";97
428;"JORDAN.SINGER@YAHOO.COM";"personal";29
429;"JORDAN.SINGER@YAHOO.COM";"work";88
430;"JORDAN.SINGER@YAHOO.COM";"personal";77
431;"kevin.laycraft@rogers.com";"personal";41
432;"kevin.laycraft@rogers.com";"work";99
433;"kevin.laycraft@rogers.com";"personal";64
434;"kevin.laycraft@rogers.com";"work";46
435;"HANBOK@HOTMAIL.COM";"work";81
436;"j@bmo.com";"personal";69
437;"j@bmo.com";"personal";56
438;"j@bmo.com";"personal";50
439;"NABI@NAVER.COM";"personal";85
440;"NABI@NAVER.COM";"personal";57
441;"pat.laycraft@hotmail.com";"work";55
442;"pat.laycraft@hotmail.com";"work";28
443;"JORDAN.SINGER@YAHOO.COM";"personal";37
444;"kevin.laycraft@rogers.com";"work";31
445;"kevin.laycraft@rogers.com";"work";93
446;"NABI@NAVER.COM";"personal";78
447;"kevin.laycraft@rogers.com";"work";59
448;"kevin.laycraft@rogers.com";"work";50
449;"kevin.laycraft@rogers.com";"work";78
450;"NABI@NAVER.COM";"work";32
451;"NABI@NAVER.COM";"work";41
452;"NABI@NAVER.COM";"personal";45
453;"pat.laycraft@hotmail.com";"work";67
454;"kevin.laycraft@rogers.com";"personal";89
455;"kevin.laycraft@rogers.com";"work";26
456;"kevin.laycraft@rogers.com";"work";40
457;"kevin.laycraft@rogers.com";"work";32
458;"NABI@NAVER.COM";"work";97
459;"NABI@NAVER.COM";"personal";39
460;"JORDAN.SINGER@YAHOO.COM";"work";75
461;"NABI@NAVER.COM";"personal";71
462;"NABI@NAVER.COM";"personal";64
463;"pat.laycraft@hotmail.com";"work";87
464;"pat.laycraft@hotmail.com";"personal";53
465;"pat.laycraft@hotmail.com";"work";84
466;"pat.laycraft@hotmail.com";"personal";81
467;"JORDAN.SINGER@YAHOO.COM";"work";53
468;"JORDAN.SINGER@YAHOO.COM";"work";80
469;"JORDAN.SINGER@YAHOO.COM";"personal";59
470;"JORDAN.SINGER@YAHOO.COM";"work";91
471;"JORDAN.SINGER@YAHOO.COM";"work";24
472;"kevin.laycraft@rogers.com";"work";57
473;"pat.laycraft@hotmail.com";"personal";36
474;"pat.laycraft@rogers.com";"work";65
475;"pat.laycraft@rogers.com";"work";41
476;"pat.laycraft@rogers.com";"work";85
477;"pat.laycraft@rogers.com";"work";57
478;"pat.laycraft@rogers.com";"work";36
479;"pat.laycraft@rogers.com";"work";74
480;"pat.laycraft@rogers.com";"personal";78
481;"pat.laycraft@rogers.com";"personal";82
482;"NABI@NAVER.COM";"personal";68
483;"NABI@NAVER.COM";"personal";38
484;"NABI@NAVER.COM";"work";41
485;"pat.laycraft@hotmail.com";"personal";60
486;"pat.laycraft@hotmail.com";"personal";94
487;"pat.laycraft@hotmail.com";"personal";63
488;"pat.laycraft@hotmail.com";"personal";55
489;"NABI@NAVER.COM";"work";88
490;"NABI@NAVER.COM";"personal";56
491;"NABI@NAVER.COM";"personal";91
492;"pat.laycraft@hotmail.com";"personal";72
493;"NABI@NAVER.COM";"personal";35
494;"NABI@NAVER.COM";"work";24
495;"NABI@NAVER.COM";"work";72
496;"NABI@NAVER.COM";"personal";89
497;"NABI@NAVER.COM";"personal";89
498;"NABI@NAVER.COM";"personal";42
499;"NABI@NAVER.COM";"personal";99
500;"NABI@NAVER.COM";"work";39
501;"pat.laycraft@hotmail.com";"personal";73
502;"pat.laycraft@hotmail.com";"work";55
503;"pat.laycraft@hotmail.com";"work";83
504;"pat.laycraft@hotmail.com";"personal";38
505;"pat.laycraft@rogers.com";"work";35
506;"kevin.laycraft@rogers.com";"personal";90
507;"NABI@NAVER.COM";"work";62
508;"pat.laycraft@rogers.com";"work";30
509;"pat.laycraft@rogers.com";"personal";29
510;"PIRI3@YAHOO.COM";"personal";71
511;"PIRI58@HOTMAIL.COM";"personal";67
512;"PIRI3@YAHOO.COM";"personal";59
513;"PIRI3@YAHOO.COM";"personal";35
514;"PIRI3@YAHOO.COM";"work";22
515;"pat.laycraft@rogers.com";"work";84
516;"pat.laycraft@rogers.com";"work";23
517;"pat.laycraft@hotmail.com";"personal";92
518;"pat.laycraft@rogers.com";"personal";85
519;"pat.laycraft@rogers.com";"personal";63
520;"pat.laycraft@rogers.com";"work";94
521;"pat.laycraft@hotmail.com";"personal";84
522;"pat.laycraft@rogers.com";"work";44
523;"pat.laycraft@rogers.com";"personal";85
524;"pat.laycraft@rogers.com";"work";76
525;"pat.laycraft@rogers.com";"work";55
526;"pat.laycraft@rogers.com";"personal";88
527;"pat.laycraft@rogers.com";"work";74
528;"PIRI3@YAHOO.COM";"work";82
529;"PIRI3@YAHOO.COM";"personal";69
530;"PIRI3@YAHOO.COM";"personal";55
531;"NABI@NAVER.COM";"personal";37
532;"NABI@NAVER.COM";"personal";86
533;"pat.laycraft@hotmail.com";"personal";68
534;"pat.laycraft@hotmail.com";"personal";83
535;"pat.laycraft@hotmail.com";"work";40
536;"PIRI58@HOTMAIL.COM";"work";46
537;"PIRI58@HOTMAIL.COM";"work";22
538;"PIRI58@HOTMAIL.COM";"personal";35
539;"PIRI58@HOTMAIL.COM";"work";75
540;"PIRI7@DAUM.COM";"personal";71
541;"PIRI7@DAUM.COM";"work";91
542;"PIRI7@DAUM.COM";"work";47
543;"PIRI3@YAHOO.COM";"personal";87
544;"PIRI3@YAHOO.COM";"personal";38
545;"PIRI3@YAHOO.COM";"personal";33
546;"PIRI3@YAHOO.COM";"personal";56
547;"PIRI3@YAHOO.COM";"work";36
548;"PIRI58@HOTMAIL.COM";"personal";98
549;"PIRI3@YAHOO.COM";"personal";43
550;"PIRI3@YAHOO.COM";"work";84
551;"PIRI3@YAHOO.COM";"personal";42
552;"PIRI3@YAHOO.COM";"work";27
553;"PIRI3@YAHOO.COM";"personal";53
554;"PIRI3@YAHOO.COM";"work";39
555;"PIRI3@YAHOO.COM";"personal";73
556;"PIRI3@YAHOO.COM";"personal";40
557;"PIRI3@YAHOO.COM";"personal";95
558;"pat.laycraft@rogers.com";"personal";91
559;"PIRI3@YAHOO.COM";"personal";75
560;"PIRI3@YAHOO.COM";"work";93
561;"PIRI3@YAHOO.COM";"personal";29
562;"PIRI58@HOTMAIL.COM";"personal";93
563;"PIRI58@HOTMAIL.COM";"work";51
564;"PIRI58@HOTMAIL.COM";"personal";37
565;"PIRI58@HOTMAIL.COM";"personal";37
566;"pat.laycraft@hotmail.com";"work";87
567;"pat.laycraft@rogers.com";"work";45
568;"pat.laycraft@rogers.com";"work";92
569;"pat.laycraft@rogers.com";"work";26
570;"PIRI9@HOTMAIL.COM";"personal";59
571;"PIRI9@HOTMAIL.COM";"work";95
572;"PIRI9@HOTMAIL.COM";"work";90
573;"PIRI7@DAUM.COM";"work";36
574;"PIRI7@DAUM.COM";"work";25
575;"PIRI7@DAUM.COM";"work";86
576;"PIRI7@DAUM.COM";"work";78
577;"PIRI58@HOTMAIL.COM";"work";41
578;"PIRI7@DAUM.COM";"personal";40
579;"PIRI7@DAUM.COM";"work";52
580;"PIRI58@HOTMAIL.COM";"personal";80
581;"PIRI58@HOTMAIL.COM";"personal";96
582;"PIRI7@DAUM.COM";"personal";81
583;"PIRI7@DAUM.COM";"personal";93
584;"PIRI7@DAUM.COM";"work";25
585;"PIRI58@HOTMAIL.COM";"personal";79
586;"PIRI58@HOTMAIL.COM";"work";81
587;"PIRI58@HOTMAIL.COM";"personal";36
588;"PIRI58@HOTMAIL.COM";"personal";86
589;"PIRI58@HOTMAIL.COM";"work";30
590;"PIRI58@HOTMAIL.COM";"work";96
591;"PIRI58@HOTMAIL.COM";"personal";83
592;"PIRI7@DAUM.COM";"personal";57
593;"PIRI7@DAUM.COM";"work";65
594;"PIRI9@HOTMAIL.COM";"personal";52
595;"PIRI9@HOTMAIL.COM";"personal";94
596;"PIRI9@HOTMAIL.COM";"work";86
