"id";"cust_type";"first_name";"last_name";"ssn";"gender";"dob";"pref_market";"pref_share"
78;"Active";"Stoneman";"Willa";"123-99-7479";"M";2001-04-16;"Y";"Y"
79;"Closed";"Sar";"Maragret";"123-99-7479";"M";2003-10-06;"Y";"Y"
80;"Active";"Tisch";"Elizebeth";"123-99-7479";"M";1994-08-22;"Y";"Y"
81;"Active";"Nicol";"Lowthert";"123-99-7479";"M";1946-01-09;"Y";"Y"
82;"Active";"Babbin";"Tiffani";"123-99-7479";"M";1975-01-21;"Y";"Y"
83;"Active";"Walter";"Rottinghaus";"123-99-7479";"M";1982-09-08;"Y";"Y"
84;"Active";"Patsy";"Hemmeke";"123-99-7479";"F";1939-05-13;"Y";"Y"
85;"Prospect";"Bockelmann";"Amalia";"123-99-7479";"M";;"Y";"Y"
86;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1997-06-17;"Y";"Y"
87;"Active";"Alyson";"Haaz";"123-99-7479";"M";;"Y";"Y"
88;"Active";"Reichart";"Carlotta";"123-99-7479";"M";2003-06-06;"Y";"Y"
89;"Active";"Denver";"Rotty";"123-99-7479";"M";;"Y";"Y"
90;"Closed";"Chelsie";"Channel";"123-99-7479";"M";1956-05-04;"Y";"Y"
91;"Active";"Magill";"Melodie";"123-99-7479";"M";1957-12-25;"Y";"Y"
92;"Active";"Loren";"Sowinski";"123-99-7479";"M";1959-12-06;"Y";"Y"
93;"Active";"Sauber";"Candis";"123-99-7479";"M";1979-04-08;"Y";"Y"
94;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
95;"Prospect";"Valorie";"Finnel";"123-99-7479";"M";1962-10-14;"Y";"Y"
96;"Active";"Redler";"Ezequiel";"123-99-7479";"M";1933-09-01;"Y";"Y"
97;"Active";"Idiart";"Renaldo";"123-99-7479";"M";;"Y";"Y"
98;"Active";"Maryln";"Szigethy";"123-99-7479";"M";;"Y";"Y"
99;"Active";"Lita";"Leitze";"123-99-7479";"M";;"Y";"Y"
100;"Active";"Mable";"Grill";"123-99-7479";"M";1939-03-05;"Y";"Y"
101;"Prospect";"Mei";"Armillei";"123-99-7479";"M";1975-07-07;"Y";"Y"
102;"Closed";"Havlin";"Mitsue";"123-99-7479";"M";2004-01-23;"Y";"Y"
103;"Prospect";"Plain";"Nickole";"123-99-7479";"M";1940-07-19;"Y";"Y"
104;"Prospect";"Orte";"Karri";"123-99-7479";"M";1938-11-02;"Y";"Y"
105;"Closed";"Fermin";"Kulbacki";"123-99-7479";"M";1938-04-22;"Y";"Y"
106;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1975-11-08;"Y";"Y"
107;"Active";"Fredo";"Una";"123-99-7479";"M";;"Y";"Y"
108;"Active";"Laurene";"Siggers";"123-99-7479";"M";1994-04-22;"Y";"Y"
109;"Active";"Frasca";"Garnet";"123-99-7479";"M";1984-06-10;"Y";"Y"
110;"Active";"McMartin";"Masako";"123-99-7479";"M";1961-02-03;"Y";"Y"
111;"Active";"Weagel";"Drema";"123-99-7479";"M";;"Y";"Y"
112;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1994-04-05;"Y";"Y"
113;"Active";"Laurine";"Lanzilotta";"123-99-7479";"M";;"Y";"Y"
114;"Active";"Renay";"Haslinger";"123-99-7479";"M";1948-02-26;"Y";"Y"
115;"Prospect";"Bernie";"Murnane";"123-99-7479";"M";;"Y";"Y"
116;"Active";"Ozella";"McMunn";"123-99-7479";"M";1947-08-03;"Y";"Y"
117;"Active";"Toccara";"Mourad";"123-99-7479";"M";;"Y";"Y"
118;"Active";"Marni";"Haraway";"123-99-7479";"M";;"Y";"Y"
119;"Active";"Halloran";"Rosemary";"123-99-7479";"F";;"Y";"Y"
120;"Closed";"Guimaraes";"Judith";"123-99-7479";"F";;"Y";"Y"
121;"Active";"Janie";"Coalter";"123-99-7479";"M";;"Y";"Y"
122;"Active";"Ladonna";"Hosier";"123-99-7479";"M";;"Y";"Y"
123;"Active";"Fosher";"Kisha";"123-99-7479";"M";1981-03-19;"Y";"Y"
124;"Active";"Marty";"Bellus";"123-99-7479";"M";;"Y";"Y"
125;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1971-05-09;"Y";"Y"
126;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1947-07-17;"Y";"Y"
127;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1985-09-01;"Y";"Y"
128;"Active";"Iannaccone";"Sid";"123-99-7479";"M";1960-11-14;"Y";"Y"
129;"Active";"Krystina";"Losito";"123-99-7479";"M";2006-03-08;"Y";"Y"
130;"Active";"Robby";"Fils";"123-99-7479";"M";1936-10-31;"Y";"Y"
131;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";2004-09-04;"Y";"Y"
132;"Active";"Alonso";"Fugle";"123-99-7479";"M";1954-02-06;"Y";"Y"
133;"Active";"Hunson";"Rudolf";"123-99-7479";"M";;"Y";"Y"
134;"Active";"Kohm";"Ivelisse";"123-99-7479";"M";;"Y";"Y"
135;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1946-04-16;"Y";"Y"
136;"Active";"Judson";"Mannebach";"123-99-7479";"M";1961-08-09;"Y";"Y"
137;"Active";"Standifer";"Conchita";"123-99-7479";"M";1936-06-17;"Y";"Y"
138;"Active";"Marjorie";"Bohnet";"123-99-7479";"F";;"Y";"Y"
139;"Active";"Shelley";"Rangitsch";"123-99-7479";"M";1970-08-24;"Y";"Y"
140;"Active";"Helf";"Arlean";"123-99-7479";"M";1990-12-08;"Y";"Y"
141;"Active";"Wassel";"Cody";"123-99-7479";"M";1935-12-06;"Y";"Y"
142;"Active";"Lucile";"Pysher";"123-99-7479";"M";1933-02-09;"Y";"Y"
143;"Active";"Stancle";"Melynda";"123-99-7479";"M";1966-10-08;"Y";"Y"
144;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1986-12-07;"Y";"Y"
145;"Closed";"Kymberly";"Hintz";"123-99-7479";"M";;"Y";"Y"
146;"Closed";"Challa";"Barrie";"123-99-7479";"M";1953-01-09;"Y";"Y"
147;"Active";"Zakutney";"Louetta";"123-99-7479";"M";1987-05-04;"Y";"Y"
148;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1965-05-26;"Y";"Y"
149;"Active";"Sanson";"Nathanial";"123-99-7479";"M";;"Y";"Y"
150;"Active";"Nubia";"Reper";"123-99-7479";"M";1966-08-25;"Y";"Y"
151;"Active";"Porfirio";"Pavlat";"123-99-7479";"M";1965-02-13;"Y";"Y"
152;"Active";"Mirna";"Dabbs";"123-99-7479";"M";1987-11-18;"Y";"Y"
153;"Active";"Doreatha";"Mathiasen";"123-99-7479";"M";2000-05-13;"Y";"Y"
154;"Prospect";"Lashay";"Starring";"123-99-7479";"M";;"Y";"Y"
155;"Active";"Ozane";"Joya";"123-99-7479";"M";2002-09-06;"Y";"Y"
156;"Active";"Royce";"Ziesemer";"123-99-7479";"M";;"Y";"Y"
157;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
158;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1961-07-29;"Y";"Y"
159;"Active";"Willia";"Kaluna";"123-99-7479";"M";1983-09-05;"Y";"Y"
160;"Active";"Margert";"Hoagberg";"123-99-7479";"M";;"Y";"Y"
161;"Closed";"SYSTEM";"MIGRATION";"123-99-7479";"M";1988-05-25;"Y";"Y"
162;"Active";"Perozo";"Pauletta";"123-99-7479";"M";1934-09-27;"Y";"Y"
163;"Active";"Meuser";"Hildegarde";"123-99-7479";"M";1987-09-12;"Y";"Y"
164;"Closed";"Renter";"Latoyia";"123-99-7479";"M";;"Y";"Y"
165;"Active";"Cerasuolo";"Sherrill";"123-99-7479";"M";1950-12-05;"Y";"Y"
166;"Active";"Auter";"Rodrick";"123-99-7479";"M";1990-11-20;"Y";"Y"
167;"Active";"Seth";"Katona";"123-99-7479";"M";1984-02-28;"Y";"Y"
168;"Active";"McKin";"Lucius";"123-99-7479";"M";;"Y";"Y"
169;"Active";"Morgante";"Aron";"123-99-7479";"M";1966-11-09;"Y";"Y"
170;"Active";"Herms";"Jodi";"123-99-7479";"M";1996-01-08;"Y";"Y"
171;"Active";"Katherine";"Lauck";"123-99-7479";"F";1961-07-08;"Y";"Y"
172;"Active";"Cedrick";"Yoes";"123-99-7479";"M";2005-10-16;"Y";"Y"
173;"Active";"Dirr";"Haydee";"123-99-7479";"M";2003-06-04;"Y";"Y"
174;"Active";"Nilsa";"Spartin";"123-99-7479";"M";1950-03-31;"Y";"Y"
175;"Active";"Sylvester";"Delbrune";"123-99-7479";"M";1978-12-29;"Y";"Y"
176;"Prospect";"Denice";"Pomfret";"123-99-7479";"M";1978-02-08;"Y";"Y"
177;"Active";"Roesch";"Ninfa";"123-99-7479";"M";1996-05-05;"Y";"Y"
178;"Prospect";"Bakeley";"Dawna";"123-99-7479";"M";;"Y";"Y"
179;"Prospect";"Hortillosa";"Leilani";"123-99-7479";"M";2002-12-22;"Y";"Y"
180;"Prospect";"Becki";"Lafreniere";"123-99-7479";"M";1954-09-12;"Y";"Y"
181;"Active";"Wilda";"Moniak";"123-99-7479";"M";1981-02-21;"Y";"Y"
182;"Active";"Jared";"McLester";"123-99-7479";"M";;"Y";"Y"
183;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
184;"Active";"Tyisha";"Stavrides";"123-99-7479";"M";1969-12-30;"Y";"Y"
185;"Active";"Almeta";"Coram";"123-99-7479";"M";1944-04-27;"Y";"Y"
186;"Active";"McCullen";"Raymon";"123-99-7479";"M";2004-05-22;"Y";"Y"
187;"Active";"Woodsmall";"Marsha";"123-99-7479";"F";1949-01-06;"Y";"Y"
188;"Prospect";"Widmark";"Lashanda";"123-99-7479";"M";1959-04-01;"Y";"Y"
189;"Active";"Maritza";"Nallie";"123-99-7479";"M";;"Y";"Y"
190;"Active";"Margit";"Vaksman";"123-99-7479";"M";2003-07-16;"Y";"Y"
191;"Closed";"Tyisha";"Hulbert";"123-99-7479";"M";1982-11-07;"Y";"Y"
192;"Active";"Nickolas";"Devenecia";"123-99-7479";"M";1948-07-02;"Y";"Y"
193;"Prospect";"Bloemer";"Mirian";"123-99-7479";"M";2005-12-11;"Y";"Y"
194;"Prospect";"Letitia";"Sundholm";"123-99-7479";"M";2004-12-31;"Y";"Y"
195;"Active";"Gow";"Shenika";"123-99-7479";"M";1989-11-26;"Y";"Y"
196;"Active";"Vashti";"Scaiano";"123-99-7479";"M";1966-03-26;"Y";"Y"
197;"Active";"Jamar";"Ape";"123-99-7479";"M";;"Y";"Y"
198;"Active";"Lunstrum";"Christene";"123-99-7479";"M";;"Y";"Y"
199;"Active";"Joelle";"Camus";"123-99-7479";"M";1986-03-16;"Y";"Y"
200;"Active";"Throneberry";"Maisha";"123-99-7479";"M";1983-03-24;"Y";"Y"
201;"Active";"Ela";"Mouw";"123-99-7479";"M";1968-02-14;"Y";"Y"
202;"Active";"Strohschein";"Machelle";"123-99-7479";"M";1998-10-27;"Y";"Y"
203;"Prospect";"Florance";"Dacosta";"123-99-7479";"M";1982-07-01;"Y";"Y"
204;"Active";"Carmela";"Alesse";"123-99-7479";"M";1979-01-31;"Y";"Y"
205;"Active";"Trabue";"Elena";"123-99-7479";"M";1962-12-22;"Y";"Y"
206;"Prospect";"Leonor";"Fabello";"123-99-7479";"M";1996-09-08;"Y";"Y"
207;"Prospect";"Solon";"Wilfred";"123-99-7479";"M";1994-08-28;"Y";"Y"
208;"Active";"Merola";"Colby";"123-99-7479";"M";2006-08-24;"Y";"Y"
209;"Active";"Wava";"Macha";"123-99-7479";"M";;"Y";"Y"
210;"Active";"Belovs";"Raisa";"123-99-7479";"M";1999-10-15;"Y";"Y"
211;"Active";"Unglesbee";"Terrance";"123-99-7479";"M";1964-07-22;"Y";"Y"
212;"Prospect";"Brendlinger";"Ahmed";"123-99-7479";"M";;"Y";"Y"
213;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
214;"Active";"Leeann";"Ulibarri";"123-99-7479";"M";1960-04-18;"Y";"Y"
215;"Active";"Marceline";"Jarrette";"123-99-7479";"M";1972-10-04;"Y";"Y"
216;"Active";"Toso";"Elvina";"123-99-7479";"M";1968-02-15;"Y";"Y"
217;"Active";"Branda";"Metzger";"123-99-7479";"M";1963-04-20;"Y";"Y"
218;"Active";"Lorrine";"Blakeborough";"123-99-7479";"M";1947-01-14;"Y";"Y"
219;"Prospect";"Kerri";"Hasbrouck";"123-99-7479";"M";;"Y";"Y"
220;"Active";"Emilie";"Muster";"123-99-7479";"M";1967-06-01;"Y";"Y"
221;"Prospect";"Ngoc";"Leininger";"123-99-7479";"M";1990-09-29;"Y";"Y"
222;"Active";"Mavis";"Youst";"123-99-7479";"M";1975-10-13;"Y";"Y"
223;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1973-11-11;"Y";"Y"
224;"Active";"Branseum";"Irwin";"123-99-7479";"M";1946-08-09;"Y";"Y"
225;"Active";"Prophit";"Bao";"123-99-7479";"M";;"Y";"Y"
226;"Active";"Ahyou";"Maddie";"123-99-7479";"M";1989-01-02;"Y";"Y"
227;"Prospect";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
228;"Active";"Wilensky";"Joanna";"123-99-7479";"M";1953-02-16;"Y";"Y"
229;"Active";"Rubins";"Hilaria";"123-99-7479";"M";;"Y";"Y"
230;"Prospect";"Scherf";"Lorna";"123-99-7479";"M";1951-05-05;"Y";"Y"
231;"Closed";"Goldsmith";"Ivonne";"123-99-7479";"M";;"Y";"Y"
232;"Closed";"Augustine";"Holben";"123-99-7479";"M";1971-02-10;"Y";"Y"
233;"Active";"Halnon";"Carlyn";"123-99-7479";"M";1934-08-17;"Y";"Y"
234;"Active";"Alita";"Strowder";"123-99-7479";"M";1998-08-26;"Y";"Y"
235;"Prospect";"Delbert";"Nellums";"123-99-7479";"M";1934-09-12;"Y";"Y"
236;"Active";"Lai";"Blacio";"123-99-7479";"M";1987-08-28;"Y";"Y"
237;"Prospect";"SYSTEM";"MIGRATION";"123-99-7479";"M";1961-02-13;"Y";"Y"
238;"Active";"Failing";"Geralyn";"123-99-7479";"M";1959-09-11;"Y";"Y"
239;"Active";"McCoun";"Griselda";"123-99-7479";"M";1940-05-05;"Y";"Y"
240;"Active";"Lauck";"Ronni";"123-99-7479";"M";;"Y";"Y"
241;"Active";"Koenigsberg";"Julia";"123-99-7479";"F";1950-05-19;"Y";"Y"
242;"Active";"Mitch";"Noguchi";"123-99-7479";"M";1982-01-20;"Y";"Y"
243;"Active";"Dollings";"Fe";"123-99-7479";"M";2002-11-06;"Y";"Y"
244;"Active";"Deana";"Verhaag";"123-99-7479";"M";;"Y";"Y"
245;"Prospect";"Kasha";"Onken";"123-99-7479";"M";;"Y";"Y"
246;"Active";"Adina";"Hebard";"123-99-7479";"M";1987-07-27;"Y";"Y"
247;"Active";"Helena";"Alexopoulos";"123-99-7479";"M";1978-03-04;"Y";"Y"
248;"Active";"Bronner";"Joella";"123-99-7479";"M";1938-05-18;"Y";"Y"
249;"Closed";"Common";"Hobert";"123-99-7479";"M";1964-09-01;"Y";"Y"
250;"Closed";"Givant";"Ching";"123-99-7479";"M";1989-05-28;"Y";"Y"
251;"Closed";"Hobstetter";"Darrel";"123-99-7479";"M";1946-08-11;"Y";"Y"
252;"Active";"Burneisen";"Krystyna";"123-99-7479";"M";;"Y";"Y"
253;"Active";"Nicholas";"Oquenda";"123-99-7479";"M";1955-01-30;"Y";"Y"
254;"Active";"Refugio";"Herrell";"123-99-7479";"M";;"Y";"Y"
255;"Active";"Charisse";"Deisch";"123-99-7479";"M";1935-05-21;"Y";"Y"
256;"Active";"Angelic";"Merithew";"123-99-7479";"M";1935-10-18;"Y";"Y"
257;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";;"Y";"Y"
258;"Active";"Susann";"Highman";"123-99-7479";"M";;"Y";"Y"
259;"Active";"Giczewski";"Roni";"123-99-7479";"M";1953-03-04;"Y";"Y"
260;"Active";"SYSTEM";"MIGRATION";"123-99-7479";"M";1980-11-28;"Y";"Y"
261;"Active";"Betacourt";"Tinisha";"123-99-7479";"M";;"Y";"Y"
262;"Active";"Ollila";"Harriet";"123-99-7479";"M";1991-09-09;"Y";"Y"
263;"Prospect";"McGaffee";"Kristeen";"123-99-7479";"M";1946-05-24;"Y";"Y"
264;"Prospect";"Roseanna";"Battersby";"123-99-7479";"M";1973-09-16;"Y";"Y"
265;"Active";"Jannet";"Paolicelli";"123-99-7479";"M";1942-06-24;"Y";"Y"
266;"Prospect";"Elizando";"Demarcus";"123-99-7479";"M";1966-03-31;"Y";"Y"
267;"Active";"Charis";"Langgood";"123-99-7479";"M";1968-03-17;"Y";"Y"
268;"Prospect";"Tousley";"Lavonia";"123-99-7479";"M";;"Y";"Y"
269;"Closed";"Wechselblatt";"Michel";"123-99-7479";"M";1983-07-29;"Y";"Y"
270;"Active";"Janzen";"Bruna";"123-99-7479";"M";;"Y";"Y"
271;"Closed";"Wischmeyer";"Christy";"123-99-7479";"F";;"Y";"Y"
272;"Active";"Louann";"Maino";"123-99-7479";"M";1947-05-18;"Y";"Y"
273;"Active";"Yokley";"Carl";"123-99-7479";"M";1945-10-13;"Y";"Y"
274;"Active";"Kupetz";"Felisha";"123-99-7479";"M";;"Y";"Y"
275;"Active";"Kacic";"Olen";"123-99-7479";"M";1965-11-30;"Y";"Y"
276;"Active";"Ehinger";"Caitlyn";"123-99-7479";"M";1959-12-24;"Y";"Y"
277;"Active";"Clise";"Glendora";"123-99-7479";"M";;"Y";"Y"
278;"Active";"Maile";"Forsey";"123-99-7479";"M";1982-11-30;"Y";"Y"
279;"Active";"Lanctot";"Lino";"123-99-7479";"M";1938-10-03;"Y";"Y"
280;"Prospect";"Amentler";"Leonora";"123-99-7479";"M";1982-06-18;"Y";"Y"
281;"Closed";"SYSTEM";"MIGRATION";"123-99-7479";"M";1982-04-06;"Y";"Y"
282;"Active";"Trulson";"Sheryl";"123-99-7479";"M";1980-09-29;"Y";"Y"
283;"Active";"Delosangeles";"Lois";"123-99-7479";"F";1993-06-30;"Y";"Y"
284;"Active";"Milan";"Duft";"123-99-7479";"M";1955-05-22;"Y";"Y"
285;"Active";"Marina";"Domenech";"123-99-7479";"M";1971-09-12;"Y";"Y"
286;"Active";"Seth";"Hollowell";"123-99-7479";"M";1974-04-24;"Y";"Y"
287;"Active";"Leadbeater";"Tony";"123-99-7479";"M";1953-05-18;"Y";"Y"
288;"Active";"Hing";"Mackenzie";"123-99-7479";"M";1955-11-11;"Y";"Y"
289;"Active";"Librada";"Budy";"123-99-7479";"M";1995-12-03;"Y";"Y"
290;"Active";"Lilly";"Mersinger";"123-99-7479";"M";1981-02-07;"Y";"Y"
291;"Closed";"Darlene";"Kilts";"123-99-7479";"F";1944-11-16;"Y";"Y"
292;"Active";"Denson";"Ling";"123-99-7479";"M";1935-05-03;"Y";"Y"
293;"Active";"Bertaina";"Jetta";"123-99-7479";"M";1985-12-27;"Y";"Y"
294;"Active";"Fend";"Horace";"123-99-7479";"M";1957-09-15;"Y";"Y"
295;"Closed";"Filion";"Donnette";"123-99-7479";"M";1937-11-18;"Y";"Y"
296;"Active";"Fiala";"Corrine";"123-99-7479";"M";;"Y";"Y"
297;"Active";"Devorah";"Palos";"123-99-7479";"M";1996-12-14;"Y";"Y"
298;"Active";"Bellinder";"Bonny";"123-99-7479";"M";1941-11-28;"Y";"Y"
299;"Prospect";"Bergem";"Adriane";"123-99-7479";"M";1978-08-18;"Y";"Y"
300;"Prospect";"Janis";"Boice";"123-99-7479";"M";1984-12-22;"Y";"Y"
301;"Active";"Dayne";"Donte";"123-99-7479";"M";;"Y";"Y"
302;"Active";"Bertrum";"Malisa";"123-99-7479";"M";1978-11-12;"Y";"Y"
303;"Prospect";"Elnora";"Mankey";"123-99-7479";"M";1969-04-27;"Y";"Y"
304;"Prospect";"Flora";"Gazdik";"123-99-7479";"M";;"Y";"Y"
305;"Active";"Scavotto";"Willis";"123-99-7479";"M";1973-12-26;"Y";"Y"
306;"Active";"Imme";"Holly";"123-99-7479";"F";1937-10-28;"Y";"Y"
307;"Active";"Jacquelin";"Mutherspaw";"123-99-7479";"M";1934-12-29;"Y";"Y"
308;"Prospect";"Fricker";"Lonnie";"123-99-7479";"M";1997-10-14;"Y";"Y"
309;"Active";"Ours";"Blake";"123-99-7479";"M";1994-06-17;"Y";"Y"
310;"Active";"Bryon";"Tamura";"123-99-7479";"M";1942-04-01;"Y";"Y"
311;"Active";"Hough";"Jewel";"123-99-7479";"M";1949-01-30;"Y";"Y"
312;"Active";"Rogue";"Ralph";"123-99-7479";"M";1949-04-29;"Y";"Y"
313;"Closed";"Vashti";"Sails";"123-99-7479";"M";;"Y";"Y"
