"ID";"CSTMR_TYPE";"FULL_NM";"GNDR";"PHONE_AREA_CD";"PHONE_NMBR";"EMAIL";"exp_FULL_NM";"exp_GNDR";"exp_PHONE";"exp_EMAIL";"exp_CSTMR_TYPE";"tmp_full_phone"
218;"Active";"Lorrine Blakeborough";"0";"203";"9181162";"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
236;"Active";"Lai Blacio";"1";"203";"9181162";"gt@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
239;"Prospect";"McCoun Griselda";"0";"203";"4830884";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4830884"
245;"Active";"Kasha Onken";"0";"203";"9237000";"gt@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9237000"
259;"Closed";"Giczewski Roni";"0";"203";"1212331";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 1212331"
267;"Active";"Charis Langgood";"1";"203";"9935438";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9935438"
284;"Active";"Milan Duft";"1";"203";"9181162";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
290;"Closed";"Lilly Mersinger";"0";"203";"5035328";"GORDANSINGER@GMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 5035328"
314;"Closed";"Marty Bute";"0";"203";"2842258";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2842258"
325;"Active";"Corrie Ibraham";"0";"203";"9842703";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9842703"
332;"Active";"Keepers Ezequiel";"0";"203";"4544545";"Keepers.Ezequiel@GMAIL.COMX";"VALID";"VALID";"VALID";"EMAIL_INVALID";"VALID";"203 4544545"
359;"Active";"Shaff Dayna";"1";"203";"3676062";"GORDANSINGER@GMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3676062"
367;"Active";"McGinnis Fabiola";"1";"203";"2381689";"j@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2381689"
373;"Active";"Gimm Emerald";;"203";"2335394";"JORDAN.SINGER@YAHOO.COM";"VALID";"NULL";"VALID";"VALID";"VALID";"203 2335394"
379;"Active";"Cherish Sheinberg";"1";"203";"4823475";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4823475"
421;"Active";"Georgeanna Drapkin";"1";"203";"8958698";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 8958698"
434;"Prospect";"Dean McCartan";"1";"203";"9181162";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
439;"Prospect";"Brendan Eyerman";"0";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
441;"Closed";"Anibal Rolon";"0";"203";"9181162";"Anibal82@hotmail.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
461;"Prospect";"Byron McCraken";"0";"203";"4170422";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4170422"
476;"Prospect";"Hadges Malcolm";"0";"203";"9181162";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
492;"Active";"Wolever Paul";"0";"203";"9181162";"amazingPaul@hotmail.";"VALID";"VALID";"VALID";"EMAIL_INVALID";"VALID";"203 9181162"
500;"Active";"SYSTEM MIGRATION";"0";"203";"8133997";"NABI@NAVER.COM";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 8133997"
507;"Closed";"Agne Dacia";"0";"203";"1400221";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 1400221"
515;"Active";"SYSTEM MIGRATION";"1";"203";"9181162";"pat.laycraft@rogers.com";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 9181162"
518;"Active";"Ta Kimmet";"0";"203";"6782932";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6782932"
527;"Active";"Mellott Glady";"0";"203";"9181162";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
531;"Active";"Deardon Emilie";"1";"203";"4749555";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4749555"
535;"Active";"Bolder Patti";"0";"203";"2569231";"Paul@hotmail.c";"VALID";"VALID";"VALID";"EMAIL_INVALID";"VALID";"203 2569231"
542;"Closed";"Robby Xue";"1";"203";"2842258";"PIRI7@DAUM.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2842258"
549;"Active";"Norman Rubottom";"1";"203";"3823568";"PIRI3@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3823568"
550;"Active";"Cardenal Carolina";"0";"203";"3336999";"PIRI3@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3336999"
553;"Active";"Laber Matt";"0";"203";"9181162";"PIRI3@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
558;"Active";"Hillsman Jean";"0";"203";"9181162";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
561;"Active";"Remick Myron";"0";"203";"8439022";"PIRI3@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 8439022"
565;"Active";"Malorie Hortin";"0";"203";"9181162";"PIRI58@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
574;"Prospect";"Lauretta Oles";"0";"203";"2246299";"PIRI7@DAUM.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2246299"
589;"Active";"Casal Arielle";"0";"203";"4285591";"PIRI58@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4285591"
601;"Active";"Wahn Marc";;"203";"9181162";"PIRI3@YAHOO.COM";"VALID";"NULL";"VALID";"VALID";"VALID";"203 9181162"
605;"Active";"Daricek Abbie";"1";"203";"9181162";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
608;"Prospect";"Cristin Rozema";"0";"203";"9181162";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
609;"Active";"Enedina Santagata";"0";"203";"8322754";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 8322754"
612;"Active";"Obryan Florentino";;"203";"9181162";"PIRI9@HOTMAIL.COM";"VALID";"NULL";"VALID";"VALID";"VALID";"203 9181162"
626;"Closed";"Drentlaw Cassie";"0";"203";"3351220";"PIRI9@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3351220"
627;"Active";"Kubley Jocelyn";"1";"203";"9181162";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
628;"Prospect";"Gramham Caryn";"0";"203";"9181162";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
640;"Prospect";"Stacie Bethurum";"0";"203";"9181162";"PIRI58@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
657;"Active";"Killick Clement";"1";"203";"9181162";"rlaycraft@bell.net";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
674;"Active";"Brosnan Erin";"1";"203";"9181162";"ross.laycraft@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
693;"Active";"Farid Kathi";"0";"203";"9181162";"ross.laycraft@sympatico.ca";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
696;"Active";"Buckhanan Maye";"0";"203";"9181162";"rlaycraft@bell.net";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
731;"Closed";"Hockaday Lamont";"0";"203";"9181162";"SIMON.AZAR@BMO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
740;"Active";"SYSTEM MIGRATION";"1";"203";"9181162";"st@bmo.com";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 9181162"
768;"Active";"Melchin Marcelle";"0";"203";"9181162";"SIMON.AZAR@BMO.CM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
782;"Active";"Kristen Abdelhamid";"1";"203";"9181162";"st@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
789;"Active";"Kubitz Sybil";;"203";"9181162";"SIMON.AZAR@BMO.COM";"VALID";"NULL";"VALID";"VALID";"VALID";"203 9181162"
790;"Active";"Ivory Aceves";;"203";"4056000";"SIMON.AZAR@BMO.COM";"VALID";"NULL";"VALID";"VALID";"VALID";"203 4056000"
806;"Prospect";"Pilgreen Earlean";"0";"203";"2692353";"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2692353"
816;"Active";"Demeglio Anibal";"0";"203";"9181162";"ab@abc.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
820;"Active";"Warren Puga";"1";"203";"4823475";"eee@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4823475"
851;"Closed";"Cyndy Tidd";"1";"203";"9181162";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
855;"Active";"Itzkowitz Beula";"0";"203";"9181162";"GORDANSINGER@GMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
859;"Active";"Gaudino Vernita";"1";"203";"9181162";"GORDANSINGER@GMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
860;"Closed";"Salome Rathmanner";"1";"203";"9181162";"GORDANSINGER@GMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
863;"Active";"Vallimont Particia";"1";"203";"6547080";"GORDANSINGER@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6547080"
864;"Active";"Khong Nicki";"1";"203";"9181162";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
865;"Closed";"Davina Jungman";"0";"203";"9181162";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
871;"Active";"Pasaya Jasmin";"0";"203";"7326346";"j@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 7326346"
879;"Active";"Kahal Sunshine";"1";"203";"9181162";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
913;"Active";"Alwang Janetta";"1";"203";"9181162";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
934;"Active";"Greg Yocham";;"203";"9181162";"pat.laycraft@hotmail.com";"VALID";"NULL";"VALID";"VALID";"VALID";"203 9181162"
952;"Active";"SYSTEM MIGRATION";"1";"203";"9181162";"PIRI58@HOTMAIL.COM";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 9181162"
953;"Active";"Adelle Portier";"0";"203";"9181162";"PIRI58@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
960;"Prospect";"Diomede Micki";"0";"203";"6360585";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6360585"
972;"Closed";"Mazell Tanisha";"1";"203";"9181162";"PIRI3@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
975;"Active";"Shaneka Beckworth";"1";"203";"9181162";"PIRI9@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
987;"Active";"Sunny Chauez";"1";"203";"1231233";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 1231233"
991;"Active";"Efren Massy";"0";"203";"9181162";"PU@DD.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1011;"Active";"SYSTEM MIGRATION";"0";"203";"5555555";"st@bmo.com";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 5555555"
1027;"Active";"Kellie Sarkin";"0";"203";"3266540";"st@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3266540"
1067;"Prospect";"Berther Dewey";"1";"203";"9325688";"GORDANSINGER@GMAIL.C";"VALID";"VALID";"VALID";"EMAIL_INVALID";"VALID";"203 9325688"
1101;"Closed";"Phung Stutts";;"203";"9181162";"JORDAN.SINGER@YAHOO.COM";"VALID";"NULL";"VALID";"VALID";"VALID";"203 9181162"
1116;"Active";"Marien Stephania";"0";"203";"9181162";"B.RUBBLE@TELUS.NET";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1128;"Active";"Mermelstein Bernardo";"1";"203";"5861921";"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 5861921"
1133;"Closed";"Wilmer Castros";"1";"203";"2842258";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2842258"
1134;"Active";"Rhyner Kristal";"0";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1138;"Active";"Vanlinden Caleb";"0";"203";"3823568";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3823568"
1141;"Closed";"Weichbrodt Darci";"0";"203";"9181162";"NABI@NAVER";"VALID";"VALID";"VALID";"EMAIL_INVALID EMAIL_AMBIGUOUS_DOMAIN";"VALID";"203 9181162"
1146;"Closed";"Elicia Halaby";"1";"203";"9181162";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1162;"Prospect";"Harben Winona";"0";"203";"4622396";"PIRI3@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4622396"
1195;"Active";"Waszkiewicz Charise";"0";"203";"9181162";"rlaycraft@bell.net";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1203;"Prospect";"Max Walp";"1";"203";"3870132";"ross.laycraft@sympatico.ca";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3870132"
1208;"Active";"Carli Rivara";"0";"203";"3765884";"st@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3765884"
1241;"Active";"Balter Chieko";"1";"203";"5332301";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 5332301"
1244;"Active";"Balick Marcelino";"1";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1262;"Closed";"Olin Holshovser";"0";"203";"3826216";"PIRI58@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3826216"
1266;"Closed";"Fraher Kenia";"1";"203";"9181162";"PIRI9@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1277;"Active";"Rinaudo Allie";"0";"203";"9181162";"ross.laycraft@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1310;"Active";"Garett Ingeborg";"1";"203";"8988989";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 8988989"
1332;"Active";"Shanice Bearman";"0";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1335;"Prospect";"Tonia Hirose";"0";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1352;"Active";"Wallace Serino";"0";"203";"9181162";"abc@efg.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1355;"Active";"Corrinne McKerrow";"1";"203";"9181162";"ashley.laycraft@hotmail.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1359;"Prospect";"Midgett Blake";"0";"203";"1111111";"ashley.laycraft@hotmail.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 1111111"
1375;"Active";"Carillion Demetrius";"0";"203";"4795438";"eee@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4795438"
1381;"Prospect";"Wei Allvin";"0";"203";"9181162";"FRED.FLINSTONE@BEDROCK.PARK.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1408;"Active";"Chang Alegria";"1";"203";"7839376";"abc@efg.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 7839376"
1418;"Active";"Beahn Dell";"0";"203";"9181162";"eee@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1441;"Active";"Ethan McFarlen";"0";"203";"9181162";"B.RUBBLE@TELUST";"VALID";"VALID";"VALID";"EMAIL_INVALID EMAIL_AMBIGUOUS_DOMAIN";"VALID";"203 9181162"
1454;"Prospect";"Cubito Terra";;"203";"2692353";"abc@efg.com";"VALID";"NULL";"VALID";"VALID";"VALID";"203 2692353"
1473;"Active";"Goethe Wilmer";;"203";"4281769";"eee@bmo.com";"VALID";"NULL";"VALID";"VALID";"VALID";"203 4281769"
1476;"Active";"Urbano Cheree";;"203";"8202211";"B.RUBBLE@TELUS.NET";"VALID";"NULL";"VALID";"VALID";"VALID";"203 8202211"
1488;"Closed";"Loschiavo Shante";"M";"203";"5799768";"ab@abc.com";"VALID";"OUT_OF_DOMAIN";"VALID";"VALID";"VALID";"203 5799768"
1496;"Active";"Figurski Randall";"M";"203";"9181162";"B.RUBBLE@TELUS.NET";"VALID";"OUT_OF_DOMAIN";"VALID";"VALID";"VALID";"203 9181162"
1508;"Active";"Kahalehoe Paola";"M";"203";"9181162";"ashley.laycraft@hotmail.com";"VALID";"OUT_OF_DOMAIN";"VALID";"VALID";"VALID";"203 9181162"
1557;"Active";"Maybelle Hadel";"M";"203";"9181162";"gt@bmo.com";"VALID";"OUT_OF_DOMAIN";"VALID";"VALID";"VALID";"203 9181162"
1562;"Active";"Randal Lavgle";"1";"203";"5589417";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 5589417"
1566;"Active";"Bachler Mohamed";"0";"203";"2244430";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2244430"
1575;"Active";"Switalski Caren";"1";"203";"9181162";"gt@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1579;"Closed";"Tajuana Kirkhart";"1";"203";"2222222";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2222222"
1583;"Active";"SYSTEM MIGRATION";"1";"203";"9181162";"GOODY@HANMAIL.COM";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1587;"Closed";"Giard Edgardo";"0";"203";"9181162";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1594;"Prospect";"Elbaum Arlyne";"1";"203";"6336660";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6336660"
1595;"Active";"Chounlapane Shenita";"1";"203";"9181162";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1598;"Active";"Petronila Feiner";"0";"203";"9181162";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1601;"Prospect";"Rothenberger Isaura";"1";"203";"9181162";"gt@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1602;"Active";"Dusti Stenzel";"0";"203";"4170423";"gt@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4170423"
1604;"Active";"Lilla McGillis";"1";"203";"4823475";"G.SINGER@BMO.GC.ON.CA";"VALID";"VALID";"VALID";"VALID";"VALID";"203 4823475"
1608;"Active";"Glaviano Francesca";"1";"203";"3870132";"GORDANSINGER@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3870132"
1611;"Active";"Sciabica Vanita";"1";"203";"9181162";"GOODY@HANMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1618;"Active";"SYSTEM MIGRATION";"1";"203";"5496030";"GORDANSINGER@HOTMAIL.COM";"NAME_UNKNOWN_WORD";"VALID";"VALID";"VALID";"VALID";"203 5496030"
1622;"Active";"Olis Deanna";"1";"203";"6864458";"GORDANSINGER@GMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6864458"
1623;"Active";"Stolte Ike";"1";"203";"7494300";"GORDANSINGER@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 7494300"
1635;"Active";"Marva Loche";"1";"203";"9181162";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1636;"Active";"Benziger Lucy";"1";"203";"6362244";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 6362244"
1644;"Active";"Mowan Kamala";"0";"203";"9181162";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1652;"Prospect";"Lamblin Catherina";"0";"203";"5037389";"GORDANSINGER@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 5037389"
1660;"Active";"Hollmann Suzanna";"0";"203";"9181162";"j@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1673;"Active";"Faur Nancie";"1";"203";"9181162";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1681;"Active";"Azucena Vanson";"1";"203";"2719983";"JORDAN.SINGER@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 2719983"
1692;"Prospect";"Christoffer Alexandria";"1";"203";"5918641";"HANBOK@HOTMAIL.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 5918641"
1722;"Active";"McCollester Angel";"1";"203";"9181162";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1730;"Active";"Cravens Jess";"1";"203";"3816498";"j@bmo.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 3816498"
1736;"Active";"Corey Rockwood";"0";"203";"4170413";"pat.laycraft@hotmail";"VALID";"VALID";"VALID";"EMAIL_INVALID EMAIL_AMBIGUOUS_DOMAIN";"VALID";"203 4170413"
1743;"Active";"Hutnak Carmine";"1";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1754;"Active";"Flavia Crebs";"0";"203";"9181162";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1755;"Active";"Dottie Southworth";"1";"203";"9181162";"kevin.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1762;"Active";"Jose Decoursey";"0";"203";"9181162";"JORDAN.SINGER@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1764;"Active";"Dung Steinkirchner";"1";"203";"9181162";"JORDAN.SINGER@YAHOO.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1783;"Prospect";"Cropp Elwanda";"0";"203";"9181162";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1797;"Prospect";"Tangela Wortham";"1";"203";"8671111";"pat.laycraft@hotmail.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 8671111"
1805;"Active";"Rakoci Domenica";"0";"203";"9181162";"NABI@NAVER.COM";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
1808;"Active";"Dibenedict Eileen";"1";"203";"9181162";"pat.laycraft@rogers.com";"VALID";"VALID";"VALID";"VALID";"VALID";"203 9181162"
